latitude,longitude,weather_id,weather_main,weather_description,weather_icon,temperature,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_direction,rain_1,rain_3,snow_1,snow_3,clouds,sunrise,sunset,w_date,w_time
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.08,276.38,277.52,278.68,1033,85,10000,2.06,10,0,0,0,0,75,1677827351,1677866717,2023-03-03,20:47:35
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.08,276.38,277.52,278.68,1033,85,10000,2.06,10,0,0,0,0,75,1677827351,1677866717,2023-03-03,20:55:05
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.08,276.38,277.52,278.68,1033,85,10000,2.06,10,0,0,0,0,75,1677827351,1677866717,2023-03-03,20:55:05
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.32,276.66,277.52,279.27,1033,83,10000,2.06,10,0,0,0,0,75,1677827351,1677866717,2023-03-03,21:05:23
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278,276.28,277.52,278.65,1033,85,10000,2.06,10,0,0,0,0,75,1677827351,1677866717,2023-03-03,21:00:40
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.32,276.66,277.52,279.27,1033,83,10000,2.06,10,0,0,0,0,75,1677827351,1677866717,2023-03-03,21:05:23
53.3545,-6.2594,803,Clouds,"broken clouds",04n,278.29,276.62,277.5,279.25,1033,83,10000,2.06,10,0,0,0,0,75,1677827351,1677866716,2023-03-03,21:12:01
53.3498,-6.2603,803,Clouds,"broken clouds",04n,278.32,276.66,277.52,279.27,1033,83,10000,2.06,10,0,0,0,0,75,1677827351,1677866717,2023-03-03,21:15:19
53.3498,-6.2603,300,Drizzle,"light intensity drizzle",09n,278.35,276.69,277.52,279.27,1033,83,10000,2.06,340,0,0,0,0,75,1677827351,1677866717,2023-03-03,21:25:04
53.3498,-6.2603,300,Drizzle,"light intensity drizzle",09n,278.35,276.69,277.52,279.27,1033,83,10000,2.06,340,0,0,0,0,75,1677827351,1677866717,2023-03-03,21:35:24
